obsDate,SPRealIndex,sp12fwd,sp36fwd,sp60fwd,sp84fwd,sp120fwd,SPRealValuation,date,next_date,SPValuationLevel
19350228,112.618677250014,0.616440708738676,0.066846843366702,0.065085388106605,-0.019108472833156,0.02466912610137,447.460364374462,02/28/1935,03/31/1935,cheap
19350331,105.5292917792,0.775219003143771,0.065909556706207,0.077890910229364,-0.019464022920963,0.031326408711727,398.925717784863,03/31/1935,04/30/1935,cheap
19350430,112.664882690977,0.66560326133535,0.026397748286948,0.066089048687057,-0.035202675604293,0.027195103230361,448.163765049674,04/30/1935,05/31/1935,cheap
19350531,121.569204861633,0.462215825819837,0.006346095602713,0.019454409850185,-0.04563983012859,0.022673692396791,510.766425143504,05/31/1935,06/30/1935,cheap
19350630,127.161164863803,0.447430074975969,-0.000828178074869,-0.008966473517386,-0.044951434262398,0.018835047471218,549.453462280141,06/30/1935,07/31/1935,cheap
19350731,133.873150941305,0.446294974852403,0.043586785541824,-0.011165931733403,-0.047713140434503,0.011551331173998,595.877906844105,07/31/1935,08/31/1935,fair
19350831,142.984742912043,0.37177126706583,0.023058334587883,-0.019902762392493,-0.058136248886869,0.005296159374253,659.887368288359,08/31/1935,09/30/1935,fair
19350930,146.053035830736,0.35870770831095,0.000399864538206,-0.015838301947296,-0.059487615514182,0.009836202201469,681.692789219918,09/30/1935,10/31/1935,fair
19351031,150.011887809849,0.392630592885115,0.029666258377585,-0.019131586662308,-0.055045236224578,0.011300734488282,710.532216903593,10/31/1935,11/30/1935,fair
19351130,162.976726252556,0.318018676319697,0.002009489630403,-0.030687495861814,-0.064751853614383,0.006225199077722,801.974304681098,11/30/1935,12/31/1935,fair
19351231,163.035442103349,0.295326399808342,-0.00778415579978,-0.040084375496418,-0.064803825308261,0.007370671075791,804.084506706733,12/31/1935,01/31/1936,fair
19360131,172.098512881592,0.256766435259163,-0.030264856620402,-0.049932450784623,-0.064186497808365,0.00589087233577,869.500769501409,01/31/1936,02/29/1936,fair
19360229,182.041414471225,0.223750702982163,-0.048393592223178,-0.072471996482619,-0.06389896054668,0.001123259314355,940.544237697779,02/29/1936,03/31/1936,fair
19360331,187.337604154739,0.17998859240381,-0.057572504426514,-0.077842886362051,-0.0653400867332,-0.005821719859813,979.934675509627,03/31/1936,04/30/1936,fair
19360430,187.654996048057,0.100419447668539,-0.097108301405538,-0.085126907075896,-0.062653340776659,-0.000270516224608,984.155079560897,04/30/1936,05/31/1936,fair
19360531,177.760415281014,0.102583799714681,-0.069335443155566,-0.080377544052375,-0.050853760796937,0.004869859679703,915.925214065374,05/31/1936,06/30/1936,fair
19360630,184.056894392846,0.02544157214041,-0.074486630056006,-0.084106836366242,-0.053136674936219,-0.00030687918185,960.942857278915,06/30/1936,07/31/1936,fair
19360731,193.620065474067,0.026138189134367,-0.082470953634449,-0.084112835028723,-0.056376517643657,-0.013847060178211,1029.17272277444,07/31/1936,08/31/1936,fair
19360831,196.142361955535,0.023821885635311,-0.09072489879971,-0.089705539157173,-0.06406572593421,-0.0189755489316,1047.46114032994,08/31/1936,09/30/1936,fair
19360930,198.443385605436,-0.136790605504376,-0.069714761534591,-0.093592639289679,-0.063519162360714,-0.036533721006054,1064.34275653502,09/30/1936,10/31/1936,fair
19361031,208.911144260446,-0.298854292780536,-0.080099584660963,-0.112378521401584,-0.071520645515147,-0.045463502098569,1138.19982743223,10/31/1936,11/30/1936,fair
19361130,214.806369006312,-0.373348091295495,-0.093900817233358,-0.126732398257561,-0.081375298170462,-0.050717845287992,1179.70046726972,11/30/1936,12/31/1936,expensive
19361231,211.184112260892,-0.368034456722167,-0.095846841898277,-0.13645819491517,-0.077342661899694,-0.047139153627263,1153.67464228689,12/31/1936,01/31/1937,fair
19370131,216.287634547602,-0.357335968129123,-0.102424277635989,-0.139329105685285,-0.076240518916055,-0.048864085280925,1188.14127537225,01/31/1937,02/28/1937,expensive
19370228,222.773308931029,-0.386162387423872,-0.115108955449671,-0.150782706226137,-0.080949858829249,-0.048012624749995,1231.75211723537,02/28/1937,03/31/1937,expensive
19370331,221.056235830853,-0.421862259165805,-0.114378603937983,-0.160882077951062,-0.076227334220626,-0.052909451995873,1217.68410373114,03/31/1937,04/30/1937,expensive
19370430,206.499207103444,-0.410047219629151,-0.090898173467711,-0.15747157356714,-0.070210395467003,-0.049969395450569,1113.58080379983,04/30/1937,05/31/1937,fair
19370531,195.9957541194,-0.367851646982539,-0.11934598585013,-0.148641236738023,-0.060840973940289,-0.0466583152998,1036.91013020177,05/31/1937,06/30/1937,fair
19370630,188.739591149481,-0.327933851056963,-0.136403101486076,-0.133569090909511,-0.050237089555213,-0.040162404955218,983.451678885685,06/30/1937,07/31/1937,fair
19370731,198.680943365637,-0.234186557141201,-0.139564886468799,-0.137056498346744,-0.054408537868616,-0.040075091714503,1049.57134235557,07/31/1937,08/31/1937,fair
19370831,200.814842870279,-0.237578591714306,-0.136465079033621,-0.140824085656664,-0.057770842507965,-0.044237514427372,1060.82575315896,08/31/1937,09/30/1937,fair
19370930,171.29819473013,-0.146352298588973,-0.076656352072922,-0.111081619051551,-0.038327473968361,-0.033541085844512,852.619153296332,09/30/1937,10/31/1937,fair
19371031,146.477151988517,0.118008829267174,-0.02395499061478,-0.071789270847947,-0.013086700256961,-0.015728331595734,677.472385168648,10/31/1937,11/30/1937,fair
19371130,134.60882113969,0.218056889844415,0.011867658047345,-0.053963239313318,-0.002033655695633,-0.008917342209408,593.064304143259,11/30/1937,12/31/1937,fair
19371231,133.461082236602,0.193289602849062,-0.001462845913223,-0.052347119414802,0.001545047300565,-0.010856378255409,582.513294015085,12/31/1937,01/31/1938,fair
19380131,139.000283262177,0.129069918333934,-0.014073322173064,-0.048919414876072,-6.42514375959191E-06,-0.01739017032768,617.683327775664,01/31/1938,02/28/1938,fair
19380228,136.746636099907,0.147164299238755,-0.029572934271267,-0.034610594523947,0.007107323579175,-0.019847089135793,600.098310895375,02/28/1938,03/31/1938,fair
19380331,127.80095278056,0.22697217793794,-0.007557947880067,-0.017950820204021,0.016850691698541,-0.011321104153227,538.199051476756,03/31/1938,04/30/1938,cheap
19380430,121.824781375053,0.133786994090292,-0.00426695143276,-0.004169947663474,0.027537016368933,-0.000824937086599,496.698411639273,04/30/1938,05/31/1938,cheap
19380531,123.898393164994,0.156508705388214,-0.019142900066943,-0.000874001017083,0.029752079525445,0.001879300146699,510.766425143504,05/31/1938,06/30/1938,cheap
19380630,126.845490176915,0.150337160906008,-0.022086634307564,-0.001983721182395,0.027380161529405,0.002807083745349,531.868445399851,06/30/1938,07/31/1938,cheap
19380731,152.152537269272,-0.017051806858603,-0.063961577207587,-0.032496669727522,-0.001875324565421,-0.018798227230381,706.311812852323,07/31/1938,08/31/1938,fair
19380831,153.105535305828,-0.036911038382842,-0.071397169908494,-0.042233607519331,-0.002221483810398,-0.022665343196001,715.456021630074,08/31/1938,09/30/1938,fair
19380930,146.228310187234,0.092580778288688,-0.060116349623305,-0.030339986664176,0.013907545755016,-0.019223244259676,671.845179766956,09/30/1938,10/31/1938,fair
19381031,163.762749209072,-0.006954993054128,-0.110877022907243,-0.05369649373929,0.003530416698237,-0.027198425177366,797.050499954617,10/31/1938,11/30/1938,fair
19381130,163.961202023033,-0.025384583856552,-0.126999953107214,-0.062751877109144,0.00803735691465,-0.032013229198599,803.381106031521,11/30/1938,12/31/1938,fair
19381231,159.25772181792,-0.01986306721677,-0.1396816364357,-0.054701943731382,0.013936250301215,-0.029363227149454,775.948479698269,12/31/1938,01/31/1939,fair
19390131,156.941038471219,-0.003428505190248,-0.133383572676373,-0.045795399310983,0.021795959955778,-0.026394556400834,764.694068894884,01/31/1939,02/28/1939,fair
19390228,156.870858974807,-0.01601091570693,-0.144004115748596,-0.046898693792812,0.023125863221093,-0.029285701448984,768.914472946154,02/28/1939,03/31/1939,fair
19390331,156.808213375708,-0.02078453280244,-0.16295337522204,-0.04144299968185,0.017218203380562,-0.028266614252505,773.838277672635,03/31/1939,04/30/1939,fair
19390430,138.123352680928,0.123282176800781,-0.140607887549253,-0.021256668322522,0.04434846319032,-0.016336662241875,646.522755459339,04/30/1939,05/31/1939,fair
19390531,143.289570278927,-0.065782410203729,-0.151083361875979,-0.024917845868714,0.038456675377659,-0.020188628125013,687.31999462161,05/31/1939,06/30/1939,fair
19390630,145.915081043844,-0.166902078169415,-0.142019327673886,-0.0204787684906,0.033277546665702,-0.027797740478944,710.532216903593,06/30/1939,07/31/1939,fair
19390731,149.55806159071,-0.153745947531981,-0.140156525469932,-0.02128952551915,0.017112610571656,-0.023955682981413,741.481846612902,07/31/1939,08/31/1939,fair
19390831,147.454251015529,-0.123043145377744,-0.139304246308835,-0.021306153585214,0.013482047851407,-0.019466485042647,730.930836484728,08/31/1939,09/30/1939,fair
